<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,20021212,000000,0.23843,0.23935,0.23071,0.23353,173377207,0
AAPL.US,D,20021213,000000,0.2329,0.23323,0.22547,0.22737,191301311,0
AAPL.US,D,20021216,000000,0.22795,0.23233,0.22459,0.22822,292123804,0
AAPL.US,D,20021217,000000,0.22822,0.23353,0.22547,0.232,258498996,0
AAPL.US,D,20021218,000000,0.22769,0.22852,0.22303,0.22425,174956989,0
AAPL.US,D,20021219,000000,0.22333,0.22944,0.21686,0.21839,403452423,0
AAPL.US,D,20021220,000000,0.21964,0.22396,0.21191,0.21745,369294539,0
AAPL.US,D,20021223,000000,0.21771,0.22396,0.21712,0.22303,146078192,0
AAPL.US,D,20021224,000000,0.22214,0.22274,0.21997,0.22089,45671792,0
AAPL.US,D,20021226,000000,0.22184,0.22795,0.21964,0.22151,99171137,0
AAPL.US,D,20021227,000000,0.22027,0.22121,0.21539,0.21631,92916874,0
AAPL.US,D,20021230,000000,0.21659,0.21771,0.21289,0.21659,179995524,0
AAPL.US,D,20021231,000000,0.21539,0.22089,0.21439,0.22059,233033314,0
AAPL.US,D,20030102,000000,0.22089,0.22944,0.22059,0.22769,210629778,0
AAPL.US,D,20030103,000000,0.22769,0.22944,0.22425,0.22916,171186266,0
AAPL.US,D,20030106,000000,0.23105,0.23659,0.22881,0.22916,453389089,0
AAPL.US,D,20030107,000000,0.22737,0.23071,0.22274,0.22822,397445226,0
AAPL.US,D,20030108,000000,0.22425,0.22645,0.22214,0.22396,266606147,0
AAPL.US,D,20030109,000000,0.22487,0.22944,0.22303,0.22577,249897702,0
AAPL.US,D,20030110,000000,0.22425,0.22795,0.22303,0.22645,203283311,0
AAPL.US,D,20030113,000000,0.22916,0.22916,0.22089,0.22517,207743203,0
AAPL.US,D,20030114,000000,0.22577,0.22795,0.22303,0.22459,216936041,0
AAPL.US,D,20030115,000000,0.22425,0.22612,0.21931,0.22184,430862005,0
AAPL.US,D,20030116,000000,0.21869,0.22707,0.21869,0.22487,649052820,0
AAPL.US,D,20030117,000000,0.22396,0.22396,0.21659,0.21686,309696901,0
AAPL.US,D,20030121,000000,0.21869,0.22184,0.21539,0.21573,294249788,0
AAPL.US,D,20030122,000000,0.21506,0.21771,0.21223,0.21349,249767733,0
AAPL.US,D,20030123,000000,0.21631,0.22089,0.21439,0.21771,264993788,0
AAPL.US,D,20030124,000000,0.21899,0.21899,0.20858,0.21223,354634045,0
AAPL.US,D,20030127,000000,0.21048,0.22303,0.21021,0.21745,454403283,0
AAPL.US,D,20030128,000000,0.21899,0.22577,0.21771,0.22425,332327962,0
AAPL.US,D,20030129,000000,0.22396,0.23233,0.21997,0.22944,433085403,0
AAPL.US,D,20030130,000000,0.23041,0.232,0.21964,0.22027,472574453,0
AAPL.US,D,20030131,000000,0.21807,0.22396,0.21631,0.22089,396144930,0
AAPL.US,D,20030203,000000,0.22184,0.22944,0.22059,0.22547,307401918,0
AAPL.US,D,20030204,000000,0.22214,0.22547,0.22027,0.22459,368501316,0
